ID,Tên SP,Giá,Kho,Lượt Xem,Đã Bán,Chỉnh Sửa,Ảnh,Link Sản Phẩm
2299942870,Chì bấm hình chuột Micky - CHOSCH - Mã CS-8309,5000,30,16,0,https://banhang.shopee.vn/portal/product/2299942870,https://cf.shopee.vn/file/69211d591ba3009986f5e79e804759a8,https://shopee.vn/product/114297327/2299942870
2299942880,Chì khúc thay ngòi kẹo- nơ - Mã LT1317,4000,40,6,0,https://banhang.shopee.vn/portal/product/2299942880,https://cf.shopee.vn/file/504a7d3793d21a80201f33cb93e8b301,https://shopee.vn/product/114297327/2299942880
2344686521,Bút nước đen cừu mặt trăng,5000,50,1,0,https://banhang.shopee.vn/portal/product/2344686521,https://cf.shopee.vn/file/6bd876e7e4a2e8df8430f19334f2059e,https://shopee.vn/product/114297327/2344686521
2344582027,Bút lông kim TTORU,6000,12,5,0,https://banhang.shopee.vn/portal/product/2344582027,https://cf.shopee.vn/file/a1db1975c5d14a58d713f6b1cc6eec6e,https://shopee.vn/product/114297327/2344582027
1988665030,Bút xóa kéo mini,4000,100,26,0,https://banhang.shopee.vn/portal/product/1988665030,https://cf.shopee.vn/file/83bf0ef278c1970880d75e437e887ae8,https://shopee.vn/product/114297327/1988665030
2195124570,Bút nước đen hươu,5000,0,0,0,https://banhang.shopee.vn/portal/product/2195124570,https://cf.shopee.vn/file/f34576015ffdfcd4e50cd8ca2bd6f095,https://shopee.vn/product/114297327/2195124570
2299869232,Bút nước đen hình cú mèo (mẫu mới),5000,50,1,0,https://banhang.shopee.vn/portal/product/2299869232,https://cf.shopee.vn/file/086a8acef3c4dc938dd742008d7a6bb8,https://shopee.vn/product/114297327/2299869232
2299869236,Bộ dụng cụ học tập không có kéo,9000,99,26,0,https://banhang.shopee.vn/portal/product/2299869236,https://cf.shopee.vn/file/975b4c4f2f0db18ea0ee434841f024cd,https://shopee.vn/product/114297327/2299869236
2182868314,Chuốt bút chì hình chuột đứng,5000,100,1,0,https://banhang.shopee.vn/portal/product/2182868314,https://cf.shopee.vn/file/c31cf69e0a55a72757ccc4ba798124b8,https://shopee.vn/product/114297327/2182868314
2171892841,Chuốt chì đồng hồ,5000,0,6,0,https://banhang.shopee.vn/portal/product/2171892841,https://cf.shopee.vn/file/122c94fdda07b755b481f012a04d522c,https://shopee.vn/product/114297327/2171892841
1988631629,Dấu in hoạt hình dễ thương,5000,7,38,3,https://banhang.shopee.vn/portal/product/1988631629,https://cf.shopee.vn/file/f24c34fbf3c4077f1747c167c6e68280,https://shopee.vn/product/114297327/1988631629
2306676534,Bóp viết nhựa trong in hình - Nhiều Mẫu,20000,21,49,0,https://banhang.shopee.vn/portal/product/2306676534,https://cf.shopee.vn/file/0e955837403a8dae9d325df3d587b520,https://shopee.vn/product/114297327/2306676534
2226262639,Bóp bút xinh,16000,160,3,0,https://banhang.shopee.vn/portal/product/2226262639,https://cf.shopee.vn/file/cb53a2b7880a605838e275cd8b5bf207,https://shopee.vn/product/114297327/2226262639
2301511728,Chuốt bút chì hình chuột đuôi,4000,48,6,0,https://banhang.shopee.vn/portal/product/2301511728,https://cf.shopee.vn/file/1d85b776c6dba7e0067a98fe92d2c74a,https://shopee.vn/product/114297327/2301511728
2317193693,Sổ kim tuyến 3D,10000,40,22,10,https://banhang.shopee.vn/portal/product/2317193693,https://cf.shopee.vn/file/1ff3b2b1a9c7a60117fd585e828072bf,https://shopee.vn/product/114297327/2317193693
2172678077,Bút nước mắt kiếng,5000,7,18,0,https://banhang.shopee.vn/portal/product/2172678077,https://cf.shopee.vn/file/a20524d43e6efa7562d78d44e728b7b2,https://shopee.vn/product/114297327/2172678077
2203271600,Chì 2B Deli,4000,99,11,0,https://banhang.shopee.vn/portal/product/2203271600,https://cf.shopee.vn/file/b2de94c812e28f91c80e06e9ac2aef0f,https://shopee.vn/product/114297327/2203271600
